Borough,Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Brooklyn,Ethnicity,Native American,"2,008",4 year June,81,31,38.3,28,34.6,90.3,5,6.2,16.1,23,28.4,74.2,3,3.7,9.7,34,42,14,17.3,2,2.5,0,0
Brooklyn,Ethnicity,Native American,"2,007",4 year June,108,53,49.1,45,41.7,84.9,8,7.4,15.1,37,34.3,69.8,8,7.4,15.1,34,31.5,14,13,4,3.7,3,2.8
Brooklyn,Ethnicity,Native American,"2,006",4 year June,109,51,46.8,37,33.9,72.5,9,8.3,17.6,28,25.7,54.9,14,12.8,27.5,40,36.7,13,11.9,5,4.6,0,0
Brooklyn,Ethnicity,Native American,"2,005",4 year June,95,38,40,27,28.4,71.1,8,8.4,21.1,19,20,50,11,11.6,28.9,38,40,9,9.5,7,7.4,3,3.2
Brooklyn,Ethnicity,Native American,"2,004",4 year June,84,40,47.6,25,29.8,62.5,5,6,12.5,20,23.8,50,15,17.9,37.5,31,36.9,9,10.7,4,4.8,0,0
Brooklyn,Ethnicity,Native American,"2,003",4 year June,56,23,41.1,15,26.8,65.2,7,12.5,30.4,8,14.3,34.8,8,14.3,34.8,25,44.6,7,12.5,1,1.8,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Ethnicity,Native American,"2,013",5 year August,112,81,72.3,66,58.9,81.5,12,10.7,14.8,54,48.2,66.7,15,13.4,18.5,16,14.3,11,9.8,3,2.7,1,0.9
Brooklyn,Ethnicity,Native American,"2,012",5 year August,121,89,73.6,72,59.5,80.9,10,8.3,11.2,62,51.2,69.7,17,14,19.1,12,9.9,16,13.2,2,1.7,2,1.7
Brooklyn,Ethnicity,Native American,"2,011",5 year August,105,76,72.4,66,62.9,86.8,14,13.3,18.4,52,49.5,68.4,10,9.5,13.2,12,11.4,10,9.5,1,1,6,5.7
Brooklyn,Ethnicity,Native American,"2,010",5 year August,98,73,74.5,69,70.4,94.5,7,7.1,9.6,62,63.3,84.9,4,4.1,5.5,8,8.2,14,14.3,2,2,1,1
Brooklyn,Ethnicity,Native American,"2,009",5 year August,87,49,56.3,42,48.3,85.7,7,8,14.3,35,40.2,71.4,7,8,14.3,15,17.2,19,21.8,2,2.3,2,2.3
Brooklyn,Ethnicity,Native American,"2,008",5 year August,81,41,50.6,36,44.4,87.8,5,6.2,12.2,31,38.3,75.6,5,6.2,12.2,13,16,23,28.4,4,4.9,0,0
Brooklyn,Ethnicity,Native American,"2,007",5 year August,107,65,60.7,50,46.7,76.9,8,7.5,12.3,42,39.3,64.6,15,14,23.1,10,9.3,25,23.4,5,4.7,2,1.9
Brooklyn,Ethnicity,Native American,"2,006",5 year August,108,67,62,44,40.7,65.7,9,8.3,13.4,35,32.4,52.2,23,21.3,34.3,14,13,19,17.6,8,7.4,0,0
Brooklyn,Ethnicity,Native American,"2,013",5 year June,112,80,71.4,66,58.9,82.5,12,10.7,15,54,48.2,67.5,14,12.5,17.5,17,15.2,11,9.8,3,2.7,1,0.9
Brooklyn,Ethnicity,Native American,"2,012",5 year June,121,88,72.7,72,59.5,81.8,10,8.3,11.4,62,51.2,70.5,16,13.2,18.2,13,10.7,16,13.2,2,1.7,2,1.7
Brooklyn,Ethnicity,Native American,"2,011",5 year June,105,75,71.4,66,62.9,88,14,13.3,18.7,52,49.5,69.3,9,8.6,12,13,12.4,10,9.5,1,1,6,5.7
Brooklyn,Ethnicity,Native American,"2,010",5 year June,98,70,71.4,66,67.3,94.3,7,7.1,10,59,60.2,84.3,4,4.1,5.7,11,11.2,14,14.3,2,2,1,1
Brooklyn,Ethnicity,Native American,"2,009",5 year June,87,48,55.2,41,47.1,85.4,7,8,14.6,34,39.1,70.8,7,8,14.6,16,18.4,19,21.8,2,2.3,2,2.3
Brooklyn,Ethnicity,Native American,"2,008",5 year June,81,40,49.4,36,44.4,90,5,6.2,12.5,31,38.3,77.5,4,4.9,10,14,17.3,23,28.4,4,4.9,0,0
Brooklyn,Ethnicity,Native American,"2,007",5 year June,107,64,59.8,49,45.8,76.6,8,7.5,12.5,41,38.3,64.1,15,14,23.4,10,9.3,26,24.3,5,4.7,2,1.9
Brooklyn,Ethnicity,Native American,"2,006",5 year June,108,65,60.2,44,40.7,67.7,9,8.3,13.8,35,32.4,53.8,21,19.4,32.3,16,14.8,19,17.6,8,7.4,0,0
Brooklyn,Ethnicity,Native American,"2,005",5 year June,93,49,52.7,30,32.3,61.2,8,8.6,16.3,22,23.7,44.9,19,20.4,38.8,8,8.6,22,23.7,8,8.6,6,6.5
Brooklyn,Ethnicity,Native American,"2,004",5 year June,86,47,54.7,28,32.6,59.6,5,5.8,10.6,23,26.7,48.9,19,22.1,40.4,17,19.8,16,18.6,4,4.7,2,2.3
Brooklyn,Ethnicity,Native American,"2,003",5 year June,56,30,53.6,17,30.4,56.7,7,12.5,23.3,10,17.9,33.3,13,23.2,43.3,9,16.1,12,21.4,5,8.9,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Ethnicity,Native American,"2,012",6 year June,135,106,78.5,84,62.2,79.2,10,7.4,9.4,74,54.8,69.8,22,16.3,20.8,6,4.4,18,13.3,2,1.5,2,1.5
Brooklyn,Ethnicity,Native American,"2,011",6 year June,115,88,76.5,75,65.2,85.2,14,12.2,15.9,61,53,69.3,13,11.3,14.8,9,7.8,11,9.6,1,0.9,6,5.2
Brooklyn,Ethnicity,Native American,"2,010",6 year June,112,85,75.9,79,70.5,92.9,7,6.3,8.2,72,64.3,84.7,6,5.4,7.1,6,5.4,15,13.4,2,1.8,2,1.8
Brooklyn,Ethnicity,Native American,"2,009",6 year June,90,54,60,46,51.1,85.2,7,7.8,13,39,43.3,72.2,8,8.9,14.8,13,14.4,20,22.2,1,1.1,2,2.2
Brooklyn,Ethnicity,Native American,"2,008",6 year June,82,43,52.4,37,45.1,86,5,6.1,11.6,32,39,74.4,6,7.3,14,10,12.2,23,28,6,7.3,0,0
Brooklyn,Ethnicity,Native American,"2,007",6 year June,106,68,64.2,52,49.1,76.5,8,7.5,11.8,44,41.5,64.7,16,15.1,23.5,7,6.6,24,22.6,6,5.7,1,0.9
Brooklyn,Ethnicity,Native American,"2,006",6 year June,105,69,65.7,45,42.9,65.2,9,8.6,13,36,34.3,52.2,24,22.9,34.8,9,8.6,19,18.1,8,7.6,0,0
Brooklyn,Ethnicity,Native American,"2,005",6 year June,93,52,55.9,32,34.4,61.5,8,8.6,15.4,24,25.8,46.2,20,21.5,38.5,5,5.4,25,26.9,8,8.6,3,3.2
Brooklyn,Ethnicity,Native American,"2,004",6 year June,86,54,62.8,32,37.2,59.3,6,7,11.1,26,30.2,48.1,22,25.6,40.7,6,7,20,23.3,5,5.8,0,0
Brooklyn,Ethnicity,Native American,"2,003",6 year June,55,30,54.5,17,30.9,56.7,7,12.7,23.3,10,18.2,33.3,13,23.6,43.3,5,9.1,15,27.3,4,7.3,1,1.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Ethnicity,White,"2,014",4 year August,"3,138",2495,79.5,2411,76.8,96.6,1075,34.3,43.1,1336,42.6,53.5,84,2.7,3.4,453,14.4,159,5.1,13,0.4,18,0.6
Brooklyn,Ethnicity,White,"2,013",4 year August,"2,909",2309,79.4,2226,76.5,96.4,999,34.3,43.3,1227,42.2,53.1,83,2.9,3.6,387,13.3,167,5.7,25,0.9,21,0.7
Brooklyn,Ethnicity,White,"2,012",4 year August,"3,037",2387,78.6,2309,76,96.7,917,30.2,38.4,1392,45.8,58.3,78,2.6,3.3,444,14.6,170,5.6,18,0.6,13,0.4
Brooklyn,Ethnicity,White,"2,011",4 year August,"2,920",2307,79,2238,76.6,97,957,32.8,41.5,1281,43.9,55.5,69,2.4,3,411,14.1,174,6,18,0.6,9,0.3
Brooklyn,Ethnicity,White,"2,010",4 year August,"3,126",2411,77.1,2331,74.6,96.7,930,29.8,38.6,1401,44.8,58.1,80,2.6,3.3,467,14.9,227,7.3,14,0.4,5,0.2
Brooklyn,Ethnicity,White,"2,009",4 year August,"3,084",2336,75.7,2253,73.1,96.4,917,29.7,39.3,1336,43.3,57.2,83,2.7,3.6,490,15.9,222,7.2,21,0.7,10,0.3
Brooklyn,Ethnicity,White,"2,008",4 year August,"3,064",2260,73.8,2194,71.6,97.1,969,31.6,42.9,1225,40,54.2,66,2.2,2.9,495,16.2,277,9,19,0.6,13,0.4
Brooklyn,Ethnicity,White,"2,007",4 year August,"3,006",2240,74.5,2069,68.8,92.4,952,31.7,42.5,1117,37.2,49.9,171,5.7,7.6,401,13.3,296,9.8,26,0.9,42,1.4
Brooklyn,Ethnicity,White,"2,006",4 year August,"2,850",2102,73.8,1868,65.5,88.9,943,33.1,44.9,925,32.5,44,234,8.2,11.1,398,14,299,10.5,19,0.7,31,1.1
Brooklyn,Ethnicity,White,"2,005",4 year August,"2,879",2069,71.9,1805,62.7,87.2,940,32.7,45.4,865,30,41.8,264,9.2,12.8,435,15.1,309,10.7,35,1.2,31,1.1
Brooklyn,Ethnicity,White,"2,014",4 year June,"3,138",2414,76.9,2335,74.4,96.7,1072,34.2,44.4,1263,40.2,52.3,79,2.5,3.3,534,17,159,5.1,13,0.4,18,0.6
Brooklyn,Ethnicity,White,"2,013",4 year June,"2,909",2227,76.6,2153,74,96.7,994,34.2,44.6,1159,39.8,52,74,2.5,3.3,469,16.1,167,5.7,25,0.9,21,0.7
Brooklyn,Ethnicity,White,"2,012",4 year June,"3,037",2296,75.6,2228,73.4,97,912,30,39.7,1316,43.3,57.3,68,2.2,3,535,17.6,170,5.6,18,0.6,13,0.4
Brooklyn,Ethnicity,White,"2,011",4 year June,"2,920",2219,76,2155,73.8,97.1,954,32.7,43,1201,41.1,54.1,64,2.2,2.9,498,17.1,175,6,18,0.6,9,0.3
Brooklyn,Ethnicity,White,"2,010",4 year June,"3,126",2295,73.4,2221,71,96.8,915,29.3,39.9,1306,41.8,56.9,74,2.4,3.2,583,18.7,227,7.3,14,0.4,5,0.2
Brooklyn,Ethnicity,White,"2,009",4 year June,"3,084",2198,71.3,2128,69,96.8,909,29.5,41.4,1219,39.5,55.5,70,2.3,3.2,627,20.3,222,7.2,22,0.7,10,0.3
Brooklyn,Ethnicity,White,"2,008",4 year June,"3,064",2146,70,2086,68.1,97.2,958,31.3,44.6,1128,36.8,52.6,60,2,2.8,608,19.8,278,9.1,19,0.6,13,0.4
Brooklyn,Ethnicity,White,"2,007",4 year June,"3,006",2103,70,1964,65.3,93.4,942,31.3,44.8,1022,34,48.6,139,4.6,6.6,531,17.7,299,9.9,31,1,40,1.3
Brooklyn,Ethnicity,White,"2,006",4 year June,"2,850",1997,70.1,1798,63.1,90,930,32.6,46.6,868,30.5,43.5,199,7,10,501,17.6,301,10.6,19,0.7,31,1.1
Brooklyn,Ethnicity,White,"2,005",4 year June,"2,879",1978,68.7,1747,60.7,88.3,934,32.4,47.2,813,28.2,41.1,231,8,11.7,524,18.2,310,10.8,36,1.3,31,1.1
Brooklyn,Ethnicity,White,"2,004",4 year June,"3,090",2070,67,1794,58.1,86.7,1004,32.5,48.5,790,25.6,38.2,276,8.9,13.3,568,18.4,416,13.5,32,1,4,0.1
Brooklyn,Ethnicity,White,"2,003",4 year June,"3,195",2027,63.4,1760,55.1,86.8,908,28.4,44.8,852,26.7,42,267,8.4,13.2,615,19.2,510,16,23,0.7,18,0.6
Brooklyn,Ethnicity,White,"2,002",4 year June,"3,619",2315,64,1952,53.9,84.3,987,27.3,42.6,965,26.7,41.7,364,10.1,15.7,701,19.4,547,15.1,24,0.7,23,0.6
Brooklyn,Ethnicity,White,"2,001",4 year June,"3,714",2345,63.1,1910,51.4,81.4,1074,28.9,45.8,836,22.5,35.7,438,11.8,18.7,676,18.2,646,17.4,38,1,6,0.2
Brooklyn,Ethnicity,White,"2,013",5 year August,"2,912",2410,82.8,2307,79.2,95.7,1001,34.4,41.5,1306,44.8,54.2,103,3.5,4.3,207,7.1,231,7.9,39,1.3,25,0.9
Brooklyn,Ethnicity,White,"2,012",5 year August,"3,056",2503,81.9,2406,78.7,96.1,920,30.1,36.8,1486,48.6,59.4,97,3.2,3.9,235,7.7,252,8.2,41,1.3,21,0.7
Brooklyn,Ethnicity,White,"2,011",5 year August,"2,934",2424,82.6,2341,79.8,96.6,958,32.7,39.5,1383,47.1,57.1,83,2.8,3.4,195,6.6,267,9.1,39,1.3,8,0.3
Brooklyn,Ethnicity,White,"2,010",5 year August,"3,132",2572,82.1,2467,78.8,95.9,934,29.8,36.3,1533,48.9,59.6,105,3.4,4.1,209,6.7,313,10,27,0.9,6,0.2
Brooklyn,Ethnicity,White,"2,009",5 year August,"3,069",2467,80.4,2360,76.9,95.7,916,29.8,37.1,1444,47.1,58.5,107,3.5,4.3,243,7.9,324,10.6,20,0.7,12,0.4
Brooklyn,Ethnicity,White,"2,008",5 year August,"3,043",2378,78.1,2292,75.3,96.4,974,32,41,1318,43.3,55.4,86,2.8,3.6,230,7.6,368,12.1,51,1.7,15,0.5
Brooklyn,Ethnicity,White,"2,007",5 year August,"2,992",2351,78.6,2142,71.6,91.1,957,32,40.7,1185,39.6,50.4,209,7,8.9,123,4.1,424,14.2,58,1.9,34,1.1
Brooklyn,Ethnicity,White,"2,006",5 year August,"2,873",2246,78.2,1954,68,87,948,33,42.2,1006,35,44.8,292,10.2,13,141,4.9,399,13.9,51,1.8,35,1.2
Brooklyn,Ethnicity,White,"2,013",5 year June,"2,912",2398,82.3,2297,78.9,95.8,1001,34.4,41.7,1296,44.5,54,101,3.5,4.2,217,7.5,232,8,40,1.4,25,0.9
Brooklyn,Ethnicity,White,"2,012",5 year June,"3,056",2492,81.5,2398,78.5,96.2,920,30.1,36.9,1478,48.4,59.3,94,3.1,3.8,244,8,253,8.3,41,1.3,21,0.7
Brooklyn,Ethnicity,White,"2,011",5 year June,"2,934",2413,82.2,2331,79.4,96.6,958,32.7,39.7,1373,46.8,56.9,82,2.8,3.4,206,7,267,9.1,39,1.3,8,0.3
Brooklyn,Ethnicity,White,"2,010",5 year June,"3,132",2547,81.3,2446,78.1,96,934,29.8,36.7,1512,48.3,59.4,101,3.2,4,231,7.4,316,10.1,27,0.9,6,0.2
Brooklyn,Ethnicity,White,"2,009",5 year June,"3,069",2435,79.3,2336,76.1,95.9,916,29.8,37.6,1420,46.3,58.3,99,3.2,4.1,273,8.9,326,10.6,20,0.7,12,0.4
Brooklyn,Ethnicity,White,"2,008",5 year June,"3,043",2361,77.6,2279,74.9,96.5,973,32,41.2,1306,42.9,55.3,82,2.7,3.5,244,8,370,12.2,52,1.7,15,0.5
Brooklyn,Ethnicity,White,"2,007",5 year June,"2,992",2327,77.8,2130,71.2,91.5,957,32,41.1,1173,39.2,50.4,197,6.6,8.5,142,4.7,428,14.3,59,2,34,1.1
Brooklyn,Ethnicity,White,"2,006",5 year June,"2,873",2221,77.3,1943,67.6,87.5,948,33,42.7,995,34.6,44.8,278,9.7,12.5,162,5.6,403,14,51,1.8,35,1.2
Brooklyn,Ethnicity,White,"2,005",5 year June,"2,893",2201,76.1,1883,65.1,85.6,957,33.1,43.5,926,32,42.1,318,11,14.4,163,5.6,422,14.6,53,1.8,53,1.8
Brooklyn,Ethnicity,White,"2,004",5 year June,"3,082",2297,74.5,1914,62.1,83.3,1015,32.9,44.2,899,29.2,39.1,383,12.4,16.7,161,5.2,521,16.9,71,2.3,32,1
Brooklyn,Ethnicity,White,"2,003",5 year June,"3,195",2274,71.2,1897,59.4,83.4,921,28.8,40.5,976,30.5,42.9,377,11.8,16.6,177,5.5,673,21.1,49,1.5,20,0.6
Brooklyn,Ethnicity,White,"2,002",5 year June,"3,619",2591,71.6,2088,57.7,80.6,1016,28.1,39.2,1072,29.6,41.4,513,14.2,19.8,215,5.9,731,20.2,50,1.4,23,0.6
Brooklyn,Ethnicity,White,"2,001",5 year June,"3,714",2616,70.4,2031,54.7,77.6,1097,29.5,41.9,934,25.1,35.7,589,15.9,22.5,177,4.8,838,22.6,73,2,6,0.2
Brooklyn,Ethnicity,White,"2,012",6 year June,"3,049",2538,83.2,2434,79.8,95.9,920,30.2,36.2,1514,49.7,59.7,104,3.4,4.1,152,5,286,9.4,50,1.6,19,0.6
Brooklyn,Ethnicity,White,"2,011",6 year June,"2,952",2455,83.2,2364,80.1,96.3,958,32.5,39,1406,47.6,57.3,91,3.1,3.7,148,5,294,10,47,1.6,8,0.3
Brooklyn,Ethnicity,White,"2,010",6 year June,"3,143",2606,82.9,2493,79.3,95.7,934,29.7,35.8,1559,49.6,59.8,113,3.6,4.3,158,5,331,10.5,34,1.1,9,0.3
Brooklyn,Ethnicity,White,"2,009",6 year June,"3,049",2499,82,2392,78.5,95.7,916,30,36.7,1476,48.4,59.1,107,3.5,4.3,154,5.1,356,11.7,26,0.9,11,0.4
Brooklyn,Ethnicity,White,"2,008",6 year June,"3,035",2410,79.4,2319,76.4,96.2,974,32.1,40.4,1345,44.3,55.8,91,3,3.8,144,4.7,382,12.6,83,2.7,15,0.5
Brooklyn,Ethnicity,White,"2,007",6 year June,"2,988",2376,79.5,2156,72.2,90.7,958,32.1,40.3,1198,40.1,50.4,220,7.4,9.3,85,2.8,429,14.4,62,2.1,35,1.2
Brooklyn,Ethnicity,White,"2,006",6 year June,"2,846",2271,79.8,1962,68.9,86.4,948,33.3,41.7,1014,35.6,44.6,309,10.9,13.6,84,3,409,14.4,51,1.8,29,1
Brooklyn,Ethnicity,White,"2,005",6 year June,"2,886",2245,77.8,1899,65.8,84.6,957,33.2,42.6,942,32.6,42,346,12,15.4,92,3.2,440,15.2,56,1.9,49,1.7
Brooklyn,Ethnicity,White,"2,004",6 year June,"3,079",2342,76.1,1929,62.7,82.4,1015,33,43.3,914,29.7,39,413,13.4,17.6,106,3.4,540,17.5,70,2.3,19,0.6
Brooklyn,Ethnicity,White,"2,003",6 year June,"3,198",2330,72.9,1924,60.2,82.6,921,28.8,39.5,1003,31.4,43,406,12.7,17.4,100,3.1,690,21.6,53,1.7,23,0.7
Brooklyn,Ethnicity,White,"2,002",6 year June,"3,619",2656,73.4,2107,58.2,79.3,1018,28.1,38.3,1089,30.1,41,559,15.4,21,103,2.8,772,21.3,55,1.5,24,0.7
Brooklyn,Ethnicity,White,"2,001",6 year June,"3,714",2681,72.2,2050,55.2,76.5,1100,29.6,41,950,25.6,35.4,635,17.1,23.7,67,1.8,875,23.6,81,2.2,6,0.2
Brooklyn,Gender,Female,"2,014",4 year August,"9,668",7853,81.2,7266,75.2,92.5,2244,23.2,28.6,5022,51.9,64,587,6.1,7.5,1209,12.5,505,5.2,46,0.5,55,0.6
Brooklyn,Gender,Female,"2,013",4 year August,"9,419",7533,80,7007,74.4,93,2166,23,28.8,4841,51.4,64.3,526,5.6,7,1240,13.2,556,5.9,39,0.4,51,0.5
Brooklyn,Gender,Female,"2,012",4 year August,"9,861",7707,78.2,7245,73.5,94,2057,20.9,26.7,5188,52.6,67.3,462,4.7,6,1426,14.5,597,6.1,65,0.7,55,0.6
Brooklyn,Gender,Female,"2,011",4 year August,"9,834",7458,75.8,7133,72.5,95.6,1932,19.6,25.9,5201,52.9,69.7,325,3.3,4.4,1575,16,676,6.9,59,0.6,59,0.6
Brooklyn,Gender,Female,"2,010",4 year August,"10,015",7280,72.7,6952,69.4,95.5,1986,19.8,27.3,4966,49.6,68.2,328,3.3,4.5,1841,18.4,780,7.8,68,0.7,41,0.4
Brooklyn,Gender,Female,"2,009",4 year August,"10,531",7468,70.9,7133,67.7,95.5,2000,19,26.8,5133,48.7,68.7,335,3.2,4.5,1992,18.9,893,8.5,104,1,64,0.6
Brooklyn,Gender,Female,"2,008",4 year August,"10,625",7428,69.9,7150,67.3,96.3,2015,19,27.1,5135,48.3,69.1,278,2.6,3.7,2024,19,999,9.4,129,1.2,40,0.4
Brooklyn,Gender,Female,"2,007",4 year August,"10,803",7497,69.4,6427,59.5,85.7,1885,17.4,25.1,4542,42,60.6,1070,9.9,14.3,1929,17.9,1165,10.8,118,1.1,91,0.8
Brooklyn,Gender,Female,"2,006",4 year August,"10,790",7484,69.4,5825,54,77.8,2064,19.1,27.6,3761,34.9,50.3,1659,15.4,22.2,1877,17.4,1155,10.7,133,1.2,138,1.3
Brooklyn,Gender,Female,"2,005",4 year August,"10,942",7276,66.5,5320,48.6,73.1,1949,17.8,26.8,3371,30.8,46.3,1956,17.9,26.9,2272,20.8,1031,9.4,168,1.5,195,1.8
Brooklyn,Gender,Female,"2,014",4 year June,"9,668",7582,78.4,7066,73.1,93.2,2232,23.1,29.4,4834,50,63.8,516,5.3,6.8,1480,15.3,505,5.2,46,0.5,55,0.6
Brooklyn,Gender,Female,"2,013",4 year June,"9,419",7227,76.7,6779,72,93.8,2158,22.9,29.9,4621,49.1,63.9,448,4.8,6.2,1546,16.4,556,5.9,39,0.4,51,0.5
Brooklyn,Gender,Female,"2,012",4 year June,"9,861",7376,74.8,6983,70.8,94.7,2052,20.8,27.8,4931,50,66.9,393,4,5.3,1753,17.8,597,6.1,68,0.7,55,0.6
Brooklyn,Gender,Female,"2,011",4 year June,"9,834",7143,72.6,6867,69.8,96.1,1922,19.5,26.9,4945,50.3,69.2,276,2.8,3.9,1888,19.2,676,6.9,60,0.6,59,0.6
Brooklyn,Gender,Female,"2,010",4 year June,"10,015",6848,68.4,6568,65.6,95.9,1965,19.6,28.7,4603,46,67.2,280,2.8,4.1,2273,22.7,780,7.8,68,0.7,41,0.4
Brooklyn,Gender,Female,"2,009",4 year June,"10,531",6981,66.3,6693,63.6,95.9,1982,18.8,28.4,4711,44.7,67.5,288,2.7,4.1,2474,23.5,895,8.5,107,1,64,0.6
Brooklyn,Gender,Female,"2,008",4 year June,"10,625",6943,65.3,6716,63.2,96.7,1997,18.8,28.8,4719,44.4,68,227,2.1,3.3,2499,23.5,1000,9.4,138,1.3,40,0.4
Brooklyn,Gender,Female,"2,007",4 year June,"10,803",7030,65.1,6156,57,87.6,1868,17.3,26.6,4288,39.7,61,874,8.1,12.4,2379,22,1178,10.9,124,1.1,90,0.8
Brooklyn,Gender,Female,"2,006",4 year June,"10,790",7034,65.2,5618,52.1,79.9,2048,19,29.1,3570,33.1,50.8,1416,13.1,20.1,2319,21.5,1163,10.8,133,1.2,138,1.3
Brooklyn,Gender,Female,"2,005",4 year June,"10,942",6867,62.8,5149,47.1,75,1939,17.7,28.2,3210,29.3,46.7,1718,15.7,25,2679,24.5,1032,9.4,169,1.5,195,1.8
Brooklyn,Gender,Female,"2,004",4 year June,"10,918",6810,62.4,4905,44.9,72,2044,18.7,30,2861,26.2,42,1905,17.4,28,2731,25,1177,10.8,186,1.7,13,0.1
Brooklyn,Gender,Female,"2,003",4 year June,"10,481",6147,58.6,4302,41,70,1827,17.4,29.7,2475,23.6,40.3,1845,17.6,30,2808,26.8,1317,12.6,133,1.3,64,0.6
Brooklyn,Gender,Female,"2,002",4 year June,"10,253",5723,55.8,3861,37.7,67.5,1534,15,26.8,2327,22.7,40.7,1867,18.2,32.6,2827,27.6,1388,13.5,139,1.4,136,1.3
Brooklyn,Gender,Female,"2,001",4 year June,"9,849",5538,56.2,3455,35.1,62.4,1568,15.9,28.3,1887,19.2,34.1,2086,21.2,37.7,2656,27,1446,14.7,180,1.8,28,0.3
Brooklyn,Gender,Female,"2,013",5 year August,"9,384",7962,84.8,7289,77.7,91.5,2171,23.1,27.3,5118,54.5,64.3,673,7.2,8.5,532,5.7,744,7.9,82,0.9,63,0.7
Brooklyn,Gender,Female,"2,012",5 year August,"9,867",8178,82.9,7584,76.9,92.7,2060,20.9,25.2,5524,56,67.5,594,6,7.3,613,6.2,878,8.9,139,1.4,55,0.6
Brooklyn,Gender,Female,"2,011",5 year August,"9,831",8002,81.4,7556,76.9,94.4,1933,19.7,24.2,5623,57.2,70.3,446,4.5,5.6,658,6.7,989,10.1,108,1.1,68,0.7
Brooklyn,Gender,Female,"2,010",5 year August,"9,976",7903,79.2,7456,74.7,94.3,1993,20,25.2,5463,54.8,69.1,447,4.5,5.7,757,7.6,1137,11.4,120,1.2,52,0.5
Brooklyn,Gender,Female,"2,009",5 year August,"10,504",8085,77,7648,72.8,94.6,2006,19.1,24.8,5642,53.7,69.8,437,4.2,5.4,929,8.8,1287,12.3,117,1.1,76,0.7
Brooklyn,Gender,Female,"2,008",5 year August,"10,567",8006,75.8,7648,72.4,95.5,2020,19.1,25.2,5628,53.3,70.3,358,3.4,4.5,930,8.8,1363,12.9,204,1.9,57,0.5
Brooklyn,Gender,Female,"2,007",5 year August,"10,716",8105,75.6,6724,62.7,83,1890,17.6,23.3,4834,45.1,59.6,1381,12.9,17,550,5.1,1746,16.3,211,2,99,0.9
Brooklyn,Gender,Female,"2,006",5 year August,"10,847",8131,75,6073,56,74.7,2074,19.1,25.5,3999,36.9,49.2,2058,19,25.3,623,5.7,1732,16,218,2,136,1.3
Brooklyn,Gender,Female,"2,013",5 year June,"9,384",7897,84.2,7246,77.2,91.8,2171,23.1,27.5,5075,54.1,64.3,651,6.9,8.2,594,6.3,747,8,82,0.9,63,0.7
Brooklyn,Gender,Female,"2,012",5 year June,"9,867",8105,82.1,7535,76.4,93,2060,20.9,25.4,5475,55.5,67.6,570,5.8,7,683,6.9,881,8.9,139,1.4,55,0.6
Brooklyn,Gender,Female,"2,011",5 year June,"9,831",7933,80.7,7505,76.3,94.6,1933,19.7,24.4,5572,56.7,70.2,428,4.4,5.4,722,7.3,991,10.1,108,1.1,68,0.7
Brooklyn,Gender,Female,"2,010",5 year June,"9,976",7808,78.3,7379,74,94.5,1992,20,25.5,5387,54,69,429,4.3,5.5,840,8.4,1149,11.5,120,1.2,52,0.5
Brooklyn,Gender,Female,"2,009",5 year June,"10,504",7956,75.7,7548,71.9,94.9,2006,19.1,25.2,5542,52.8,69.7,408,3.9,5.1,1048,10,1295,12.3,118,1.1,76,0.7
Brooklyn,Gender,Female,"2,008",5 year June,"10,567",7869,74.5,7529,71.3,95.7,2020,19.1,25.7,5509,52.1,70,340,3.2,4.3,1048,9.9,1379,13.1,206,1.9,57,0.5
Brooklyn,Gender,Female,"2,007",5 year June,"10,716",8003,74.7,6685,62.4,83.5,1890,17.6,23.6,4795,44.7,59.9,1318,12.3,16.5,626,5.8,1770,16.5,213,2,99,0.9
Brooklyn,Gender,Female,"2,006",5 year June,"10,847",8025,74,6046,55.7,75.3,2074,19.1,25.8,3972,36.6,49.5,1979,18.2,24.7,715,6.6,1749,16.1,218,2,134,1.2
Brooklyn,Gender,Female,"2,005",5 year June,"10,959",7902,72.1,5578,50.9,70.6,1970,18,24.9,3608,32.9,45.7,2324,21.2,29.4,812,7.4,1810,16.5,240,2.2,191,1.7
Brooklyn,Gender,Female,"2,004",5 year June,"10,959",7804,71.2,5249,47.9,67.3,2072,18.9,26.6,3177,29,40.7,2555,23.3,32.7,979,8.9,1629,14.9,273,2.5,273,2.5
Brooklyn,Gender,Female,"2,003",5 year June,"10,481",7129,68,4588,43.8,64.4,1853,17.7,26,2735,26.1,38.4,2541,24.2,35.6,1073,10.2,1961,18.7,226,2.2,80,0.8
